reminder,reply,intent,dpd,amount,loan,tone,region,ptp_date,ptp_amount,dispute_type,excuse_type,cibil_mentioned,legal_mentioned
"Arre ₹7500 business loan EMI 64 din se overdue hai. Aapko settlement offer karte hain, aaj settle karein to 5% discount milega.","lagech, paisa arrange kar raha hoon. 7 din aur chahiye, please 🙏",needs_more_time,64,7500,business loan EMI,desperate,mumbai,7 din,,,personal_problem,False,False
"Nitin ji, ₹24000 ka EMI 61 days se pending hai. Settlement offer hai ₹20000, turant bhar do.","Bhai, ₹18000 abhi bhejta hun, ₹2000 kal bhejne ki koshish karta hun. 🙏",partial_payment,61,24000,mobile loan EMI,cooperative,delhi,tomorrow,2000,,financial difficulties,False,False
"Amit ji, ₹8000 EMI 17 din late ho gayi. Abhi ₹5540 (late fees) UPI maadtini: paytm.me/pay","bekku, kal kar dunga, aaj busy hoon 🙏",promise_to_pay,17,8000,BNPL payment,cooperative,mumbai,tomorrow,8000,,busy,False,False
"Rajesh ji, ₹5000 EMI 40 din ho gaye hain. RBI guidelines ke mutabiq, CIBIL report mein late payment show hoga. Abhi payment karein: rzp.io/pay","bhaii, office mein milte hain, settlement kar lenge, okay ra?",promise_to_pay,40,5000,credit line EMI,evasive,hyderabad,null,,,,True,False
"Kumar ji, ₹1500 EMI 50 din due. Late fees ₹200 ho gaye hain. UPI se kal tak payment karein: rzp.io/pay 📝","Theek hai Anna, kal tak zaroor payment kar dunga 🤞",promise_to_pay,50,1500,credit line EMI,worried,hyderabad,kal,1500,,,False,False
"Kamal ji, ₹22000 EMI pending hai. UPI se payment kar sakte hain. Kab tak payment karoge?","Thoda wait karo, ₹11000 kal bhej sakta hun, baaki 15 tarikh ko",partial_payment,28,22000,credit line EMI,cooperative,bangalore,tomorrow,11000,,payment processing delay,True,False
"Arre bhai, ₹8000 EMI 3 din ho gaye. Thoda settlement karna padega. UPI se kar dein: rzp.io/pay","re bhai, thoda time de do, ghar mein thoda issue hai, kal kal kar dunga 🙏",promise_to_pay,3,8000,personal loan EMI,worried,delhi,kal kal,8000,,personal_issue,False,False
"Rahul ji, ₹18000 ka payment 14 din ho gaya hai overdue. Sun, CIBIL score par asar pad sakta hai. Payment karein, nahi toh late fees bhi deni padegi.","Bhai, ₹9000 abhi bhej sakta hun. Baaki 2 hafte mein pakka karta hun.",partial_payment,14,18000,BNPL payment,cooperative,delhi,2 hafte mein,9000,,financial constraint,True,False
Ravi ji ₹18000 pending. Aapka CIBIL score kharab ho sakta hai.,"Arre bhai ₹9000 abhi bhej sakta hun, baaki 1 mahine mein. Aap log thoda adjustment kar sakte ho? 😓",partial_payment,73,18000,bike loan EMI,desperate,mumbai,30,9000,,job_loss,True,False
"Sun, ₹18000 EMI overdue hai. Full payment karne par late fees maaf karenge.","Bhai 9000 abhi bhejta hun, baaki 10 din mein pakka. 🤞",partial_payment,8,18000,business loan EMI,desperate,delhi,10 days,9000,,,False,False
"Sun, ₹15000 ka EMI 6 din se overdue hai. Payment link bhej raha hun. Turant payment karein.","Bhai, ₹5000 abhi bhejta hun. Baaki 20 tarikh ko pakka. CIBIL score kharab nahi karein, plz. 🙏🙏",partial_payment,6,15000,mobile loan EMI,worried,bangalore,20,5000,,job loss,True,False
"Rahul ji, ₹50000 EMI kal due thi. Aaj tak payment nahi aayi. Late fees ₹500 lagech. UPI se kar dein: rzp.io/pay","nako bhai, kal kal kar dunga, aaj office mein meeting thi 🙏",promise_to_pay,3,50000,personal loan EMI,polite,bangalore,kal,50000,,busy,False,False
"₹10000 EMI bohot din se pending hai. Bol, kab tak poora amount bhejoge?","Bhai, 3000 abhi bhej sakta hun. Baaki 7000 1 mahine mein bhej dunga",partial_payment,79,10000,credit line EMI,evasive,bangalore,1 month,7000,,business issue,False,False
Lagech ₹2800 ka EMI aapka 18 din ho gaye due hai. Aapko late fees bhi dena pad sakta hai.,"Aapne galat amount bheja hai, mera loan ₹2500 ka tha. 🙏🙏",dispute,18,2800,mobile loan EMI,angry,mumbai,,,incorrect amount,,True,False
"Rohit ji, ₹6000 EMI 48 din se overdue hai. Aapka CIBIL score affect ho raha hai. Hum aapko settlement offer kar sakte hain. UPI se payment karein: rzp.io/pay","Abhi nahi kar paunga bhai, kuch din ka time dein. Salary aane ke baad kar dunga 🙏",promise_to_pay,48,6000,credit line EMI,worried,hyderabad,,,,financial constraint,True,False
"₹25000 EMI pending hai 8 din se. UPI se payment kar sakte hain, bhai. Turant karein.","Bhai 12000 abhi bhejta hun, baaki 15 tarikh ko pakka. CIBIL score theek rakhne ke liye pls jaldi payment karwa dena.",partial_payment,8,25000,business loan EMI,cooperative,delhi,15,12000,,,True,False
Rajesh ji ₹3800 BNPL payment 23 din se pending hai. Settlement karne se late fees maaf karwa sakte hain. Definitely consider karein.,"enti, boss, 10 din aur do, mummy ki tabiyat kharab hai",needs_more_time,23,3800,BNPL payment,cooperative,hyderabad,10 days,,,family_emergency,False,False
"Kumar ji, ₹22000 bike loan EMI 75 days overdue hai. Settlement offer hai -  ₹18000 abhi karein: rzp.io/pay, nahi toh CIBIL score kharaab hoga","bhai, enti cheyam, next week transfer",promise_to_pay,75,22000,bike loan EMI,evasive,hyderabad,next week,18000,,vague timeline,True,False
"Anil ji, aapka ₹50000 mobile loan EMI 5 din se overdue hai. UPI se ₹9000 abhi bhej sakte hain?","Yaar, ₹4500 abhi bhej sakta hun, baaki 15 din mein pakka",partial_payment,5,50000,mobile loan EMI,worried,delhi,15 days,50000,,,False,False
Rahul bhai ₹22000 EMI pending hai. Turant payment karein aur late fees se bachain. UPI link: http://pay.upi,"Yaar, abhi ₹6000 ho sakta hai. Baaki 10 din mein pakka kar dunga 🤞",partial_payment,5,22000,credit line EMI,polite,delhi,10,22000,,temporary financial difficulty,False,False
"Yaar, ₹12000 EMI 25 din se due hai. Turant payment karein, nahi to CIBIL score par asar padega.","Bhai, maine kal UPI kar diya tha, aap check karo",dispute,25,12000,business loan EMI,polite,delhi,,,payment,delay,True,False
₹8000 ka EMI miss ho gaya hai. Abhi payment karein aur CIBIL score thik rakhein: https://example.com/pay,"Thoda time chahiye, kal tak payment kar dunga",dispute,5,8000,personal loan EMI,evasive,mumbai,tomorrow,8000,,request_for_time,True,False
"Nako, ₹8000 EMI 18 din late ho gayi hai, Rohan ji. Late fees lag sakti hai. Abhi UPI se payment kar dein: rzp.io/pay","Theek hai, re, 2-3 din mein kar dunga, settlement kar lo",promise_to_pay,18,8000,business loan EMI,cooperative,mumbai,2-3 din mein,,,delay,False,False
"Rahul ji ₹25000 ki EMI 49 din se pending hai, late fees bhi lag rahi hai. Aapko turant payment karna hoga, nahi to CIBIL score kharab hoga.","Bhai, mera loan ₹8000 ka tha, extra charges kyun lag rahe hain?",dispute,49,25000,credit line EMI,angry,delhi,,,incorrect amount,,True,False
₹10000 pending hai. UPI se turant payment kar sakte hain. CIBIL score par asar padega agar nahi karte.,Bhai abhi 5000 hi ho payega. Baaki 15 tarikh ko pakka. Sorry yaar.,partial_payment,25,10000,BNPL payment,resigned,bangalore,15,5000,,short_on_funds,True,False
"Rajesh ji, ₹22000 overdue hai. Aapko late fees bhi dena padega. Please EMI clear karein.","Enti, boss. Nahi kar sakta. Aap kuch aur options do.",refusal,28,22000,credit line EMI,evasive,hyderabad,,,,vague,False,False
"Arre, Karan ji ₹10000 EMI 19 din se pending hai. Late fees ₹500 lag gaya hai","Nako, itni jaldi nahi ho payega, abhi 2500 hi de sakta hun, baaki 1 hafte mein",partial_payment,19,10000,mobile loan EMI,resigned,mumbai,7 days,2500,,short on cash,False,False
